"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",14.7309314700262
"[0,15)","[15,25)",1.89342341583894
"[0,15)","[25,50)",3.831816217267
"[0,15)","[50,70)",0.662152843424924
"[0,15)","[70,Inf)",0.0706289210669366
"[15,25)","[0,15)",3.09634502871032
"[15,25)","[15,25)",11.8802683283558
"[15,25)","[25,50)",5.17161981011431
"[15,25)","[50,70)",0.935383445713083
"[15,25)","[70,Inf)",0.0630860045191325
"[25,50)","[0,15)",3.49228799868364
"[25,50)","[15,25)",2.88224149192959
"[25,50)","[25,50)",7.37471131687376
"[25,50)","[50,70)",1.45311974894968
"[25,50)","[70,Inf)",0.109502678241713
"[50,70)","[0,15)",1.77515253373999
"[50,70)","[15,25)",1.53343546397647
"[50,70)","[25,50)",4.27438318946972
"[50,70)","[50,70)",1.73079400516983
"[50,70)","[70,Inf)",0.186171993376645
"[70,Inf)","[0,15)",0.853262890954032
"[70,Inf)","[15,25)",0.466049132732533
"[70,Inf)","[25,50)",1.45150871356561
"[70,Inf)","[50,70)",0.838952179793443
"[70,Inf)","[70,Inf)",0.308156887933324
