"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",18.0356488983343
"[0,15)","[15,25)",1.92744751556513
"[0,15)","[25,50)",3.19947667280715
"[0,15)","[50,70)",0.509493585034883
"[0,15)","[70,Inf)",0.0561220887412915
"[15,25)","[0,15)",3.89362336834334
"[15,25)","[15,25)",12.6530698055991
"[15,25)","[25,50)",4.26399565434747
"[15,25)","[50,70)",0.712404585796155
"[15,25)","[70,Inf)",0.0498306988511974
"[25,50)","[0,15)",4.44705027596358
"[25,50)","[15,25)",2.93385378458382
"[25,50)","[25,50)",6.16104123299056
"[25,50)","[50,70)",1.12012376558575
"[25,50)","[70,Inf)",0.0868646876743309
"[50,70)","[0,15)",2.25663112037306
"[50,70)","[15,25)",1.5619861563911
"[50,70)","[25,50)",3.56939633399159
"[50,70)","[50,70)",1.33263829175353
"[50,70)","[70,Inf)",0.147577901267419
"[70,Inf)","[0,15)",1.08226006861699
"[70,Inf)","[15,25)",0.475689327776841
"[70,Inf)","[25,50)",1.20516907753686
"[70,Inf)","[50,70)",0.642535734385057
"[70,Inf)","[70,Inf)",0.249614517752341
