"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.13980530771602
"[0,15)","[15,25)",0.667981628924842
"[0,15)","[25,50)",1.68710761699829
"[0,15)","[50,70)",0.217340931983438
"[0,15)","[70,Inf)",0.0279672846959461
"[15,25)","[0,15)",1.34938505925711
"[15,25)","[15,25)",1.55404002941055
"[15,25)","[25,50)",1.01295132577162
"[15,25)","[50,70)",0.276050992625869
"[15,25)","[70,Inf)",0.022229962437404
"[25,50)","[0,15)",2.34496236760177
"[25,50)","[15,25)",0.696963909352074
"[25,50)","[25,50)",1.08946512225171
"[25,50)","[50,70)",0.245265132596881
"[25,50)","[70,Inf)",0.0297730917920474
"[50,70)","[0,15)",0.962638834424444
"[50,70)","[15,25)",0.605256953052526
"[50,70)","[25,50)",0.781564048584815
"[50,70)","[50,70)",0.385033172593119
"[50,70)","[70,Inf)",0.0427985569247624
"[70,Inf)","[0,15)",0.539321969885919
"[70,Inf)","[15,25)",0.212209664567027
"[70,Inf)","[25,50)",0.413074754898881
"[70,Inf)","[50,70)",0.186339566887065
"[70,Inf)","[70,Inf)",0.109483350600374
