"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0382492319391827
"[0,15)","[15,25)",0.060099328868743
"[0,15)","[25,50)",0.175278408983269
"[0,15)","[50,70)",0.0286393848633204
"[0,15)","[70,Inf)",0.000598557433904261
"[15,25)","[0,15)",0.12140623773949
"[15,25)","[15,25)",0.677872157390171
"[15,25)","[25,50)",0.988502596600534
"[15,25)","[50,70)",0.14695981371746
"[15,25)","[70,Inf)",0.00597572581411919
"[25,50)","[0,15)",0.243624810164848
"[25,50)","[15,25)",0.680141894879867
"[25,50)","[25,50)",2.66861163084433
"[25,50)","[50,70)",0.388832421284413
"[25,50)","[70,Inf)",0.01659157869311
"[50,70)","[0,15)",0.126848559136392
"[50,70)","[15,25)",0.322217457817109
"[50,70)","[25,50)",1.23905684506558
"[50,70)","[50,70)",0.323148321300708
"[50,70)","[70,Inf)",0.0148751340496972
"[70,Inf)","[0,15)",0.0115425997858812
"[70,Inf)","[15,25)",0.0570449353717777
"[70,Inf)","[25,50)",0.2301931673711
"[70,Inf)","[50,70)",0.0647644742106688
"[70,Inf)","[70,Inf)",0.00447241762676929
