"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",8.76787822586235
"[0,15)","[15,25)",1.51110161755927
"[0,15)","[25,50)",4.24681038248622
"[0,15)","[50,70)",1.15308643544021
"[0,15)","[70,Inf)",0.178865085436962
"[15,25)","[0,15)",1.77240259312011
"[15,25)","[15,25)",9.05055653563794
"[15,25)","[25,50)",5.83239135929704
"[15,25)","[50,70)",1.62939424729242
"[15,25)","[70,Inf)",0.172276129464655
"[25,50)","[0,15)",1.97604677254415
"[25,50)","[15,25)",2.3137279939634
"[25,50)","[25,50)",8.0032512912535
"[25,50)","[50,70)",2.50610569593707
"[25,50)","[70,Inf)",0.291578686105299
"[50,70)","[0,15)",0.999500733025971
"[50,70)","[15,25)",1.20414483198038
"[50,70)","[25,50)",4.66859593654943
"[50,70)","[50,70)",3.00797356717651
"[50,70)","[70,Inf)",0.508640157341579
"[70,Inf)","[0,15)",0.445250536624685
"[70,Inf)","[15,25)",0.365624489322843
"[70,Inf)","[25,50)",1.55991273019106
"[70,Inf)","[50,70)",1.46072434837139
"[70,Inf)","[70,Inf)",0.689369294357232
