"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.42541212959802
"[0,15)","[15,25)",0.50953889010915
"[0,15)","[25,50)",2.22995083045032
"[0,15)","[50,70)",0.490169922323008
"[0,15)","[70,Inf)",0.0885109803495212
"[15,25)","[0,15)",0.597648787897995
"[15,25)","[15,25)",1.17022529142872
"[15,25)","[25,50)",1.4018115269675
"[15,25)","[50,70)",0.622364244388059
"[15,25)","[70,Inf)",0.0709876981175522
"[25,50)","[0,15)",1.03759922025617
"[25,50)","[15,25)",0.556103041171127
"[25,50)","[25,50)",1.40777521020542
"[25,50)","[50,70)",0.544755696546438
"[25,50)","[70,Inf)",0.101027938603331
"[50,70)","[0,15)",0.424881588761463
"[50,70)","[15,25)",0.459935764309079
"[50,70)","[25,50)",1.01481922148455
"[50,70)","[50,70)",0.87934958216295
"[50,70)","[70,Inf)",0.152004994606089
"[70,Inf)","[0,15)",0.220331214454319
"[70,Inf)","[15,25)",0.150658370100886
"[70,Inf)","[25,50)",0.540487954168859
"[70,Inf)","[50,70)",0.436531393540888
"[70,Inf)","[70,Inf)",0.309666825220293
