"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.63757343984497
"[0,15)","[15,25)",0.683251692346236
"[0,15)","[25,50)",1.55348779622621
"[0,15)","[50,70)",0.445430438707798
"[0,15)","[70,Inf)",0.0890983815099482
"[15,25)","[0,15)",0.801400155486677
"[15,25)","[15,25)",4.07891712264281
"[15,25)","[25,50)",2.36546156472565
"[15,25)","[50,70)",0.587713809888791
"[15,25)","[70,Inf)",0.085828591926946
"[25,50)","[0,15)",0.722840030385909
"[25,50)","[15,25)",0.938386041640703
"[25,50)","[25,50)",3.29105474712779
"[25,50)","[50,70)",1.0733163774639
"[25,50)","[70,Inf)",0.13679311907721
"[50,70)","[0,15)",0.386101194426554
"[50,70)","[15,25)",0.43432861508936
"[50,70)","[25,50)",1.99946893165105
"[50,70)","[50,70)",1.49465771171119
"[50,70)","[70,Inf)",0.2998954756626
"[70,Inf)","[0,15)",0.221793437678349
"[70,Inf)","[15,25)",0.182155445389355
"[70,Inf)","[25,50)",0.731827592411954
"[70,Inf)","[50,70)",0.861246633683698
"[70,Inf)","[70,Inf)",0.414472537634403
