"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0311510419461011
"[0,15)","[15,25)",0.0606731171123788
"[0,15)","[25,50)",0.20779386651866
"[0,15)","[50,70)",0.0340580591747799
"[0,15)","[70,Inf)",0.000907805898369848
"[15,25)","[0,15)",0.101805118496366
"[15,25)","[15,25)",0.692405274442587
"[15,25)","[25,50)",1.21366539563026
"[15,25)","[50,70)",0.181613614234886
"[15,25)","[70,Inf)",0.0094242066605731
"[25,50)","[0,15)",0.197201697946383
"[25,50)","[15,25)",0.68644159059314
"[25,50)","[25,50)",3.16089851700639
"[25,50)","[50,70)",0.461053323836165
"[25,50)","[70,Inf)",0.0263148541833409
"[50,70)","[0,15)",0.0981753650990467
"[50,70)","[15,25)",0.312002248920297
"[50,70)","[25,50)",1.40041212043996
"[50,70)","[50,70)",0.371080892716816
"[50,70)","[70,Inf)",0.0232083322933765
"[70,Inf)","[0,15)",0.00917943910108601
"[70,Inf)","[15,25)",0.0567929777014803
"[70,Inf)","[25,50)",0.280379454777716
"[70,Inf)","[50,70)",0.0814112549574031
"[70,Inf)","[70,Inf)",0.0061867076647892
