"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",7.31792981641599
"[0,15)","[15,25)",1.12146608274258
"[0,15)","[25,50)",4.21147106938973
"[0,15)","[50,70)",1.34900114363617
"[0,15)","[70,Inf)",0.249112330643651
"[15,25)","[0,15)",1.48512889990721
"[15,25)","[15,25)",6.93143215212952
"[15,25)","[25,50)",5.63870626960705
"[15,25)","[50,70)",1.87682548577021
"[15,25)","[70,Inf)",0.247653229252595
"[25,50)","[0,15)",1.73056918773102
"[25,50)","[15,25)",1.74967187733794
"[25,50)","[25,50)",7.72364627243258
"[25,50)","[50,70)",2.91129738240521
"[25,50)","[70,Inf)",0.422365853332627
"[50,70)","[0,15)",0.85699483741612
"[50,70)","[15,25)",0.900350840153798
"[50,70)","[25,50)",4.50087873863832
"[50,70)","[50,70)",3.50389111863418
"[50,70)","[70,Inf)",0.735894116848908
"[70,Inf)","[0,15)",0.372088611470727
"[70,Inf)","[15,25)",0.27932971757387
"[70,Inf)","[25,50)",1.53527015474601
"[70,Inf)","[50,70)",1.73021708413746
"[70,Inf)","[70,Inf)",0.923143502990808
