"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.27155700374331
"[0,15)","[15,25)",0.302203443226379
"[0,15)","[25,50)",1.90207921140273
"[0,15)","[50,70)",0.639048286846768
"[0,15)","[70,Inf)",0.174627765677655
"[15,25)","[0,15)",0.540808720904347
"[15,25)","[15,25)",0.69734084295871
"[15,25)","[25,50)",1.21374498239032
"[15,25)","[50,70)",0.721176655985373
"[15,25)","[70,Inf)",0.147049903300681
"[25,50)","[0,15)",0.958196301168328
"[25,50)","[15,25)",0.341671740956772
"[25,50)","[25,50)",1.16281655052569
"[25,50)","[50,70)",0.682305551717977
"[25,50)","[70,Inf)",0.213153758590831
"[50,70)","[0,15)",0.385883104305449
"[50,70)","[15,25)",0.243343343631226
"[50,70)","[25,50)",0.817852720526399
"[50,70)","[50,70)",1.13303860557277
"[50,70)","[70,Inf)",0.324384140490743
"[70,Inf)","[0,15)",0.187792787108131
"[70,Inf)","[15,25)",0.0883661788271216
"[70,Inf)","[25,50)",0.455022334441707
"[70,Inf)","[50,70)",0.577701020081664
"[70,Inf)","[70,Inf)",0.601988301959882
