"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0265262868692257
"[0,15)","[15,25)",0.0515615558196416
"[0,15)","[25,50)",0.217405860553944
"[0,15)","[50,70)",0.0525413130401799
"[0,15)","[70,Inf)",0.00141996217446394
"[15,25)","[0,15)",0.0853460478786189
"[15,25)","[15,25)",0.576597057718397
"[15,25)","[25,50)",1.23369116031156
"[15,25)","[50,70)",0.279247959020022
"[15,25)","[70,Inf)",0.0145415761316883
"[25,50)","[0,15)",0.163924137433969
"[25,50)","[15,25)",0.561979807489732
"[25,50)","[25,50)",3.23956548030373
"[25,50)","[50,70)",0.717180462875743
"[25,50)","[70,Inf)",0.0407464540344471
"[50,70)","[0,15)",0.0797504623048336
"[50,70)","[15,25)",0.256073650859637
"[50,70)","[25,50)",1.44374029406555
"[50,70)","[50,70)",0.560938114480037
"[50,70)","[70,Inf)",0.0348199905790853
"[70,Inf)","[0,15)",0.00763876838860281
"[70,Inf)","[15,25)",0.0472607540101187
"[70,Inf)","[25,50)",0.290713183350767
"[70,Inf)","[50,70)",0.123407890432684
"[70,Inf)","[70,Inf)",0.0094066664833163
