"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.47518228523741
"[0,15)","[15,25)",0.278267222212857
"[0,15)","[25,50)",1.0207833312548
"[0,15)","[50,70)",0.130758574264337
"[0,15)","[70,Inf)",0.00131377090040158
"[15,25)","[0,15)",0.346369480722263
"[15,25)","[15,25)",3.2169011415578
"[15,25)","[25,50)",0.835789163145781
"[15,25)","[50,70)",0.091062979022857
"[15,25)","[70,Inf)",0.000313417238157732
"[25,50)","[0,15)",0.37761144324971
"[25,50)","[15,25)",0.249056565477723
"[25,50)","[25,50)",0.518924483378189
"[25,50)","[50,70)",0.0343537449191576
"[25,50)","[70,Inf)",0.000334506709718805
"[50,70)","[0,15)",0.244061783488263
"[50,70)","[15,25)",0.136885035029208
"[50,70)","[25,50)",0.173334113877783
"[50,70)","[50,70)",0.0338139388000286
"[50,70)","[70,Inf)",0.00139793725338091
"[70,Inf)","[0,15)",0.00987272760790496
"[70,Inf)","[15,25)",0.00189681471332651
"[70,Inf)","[25,50)",0.00679533345694334
"[70,Inf)","[50,70)",0.00562734422614134
"[70,Inf)","[70,Inf)",0.0011534105681568
