"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",12.2722961036894
"[0,15)","[15,25)",1.70750798458602
"[0,15)","[25,50)",3.93337856330133
"[0,15)","[50,70)",0.92071232881535
"[0,15)","[70,Inf)",0.128191255346618
"[15,25)","[0,15)",2.56218660990589
"[15,25)","[15,25)",10.4405560573958
"[15,25)","[25,50)",5.31618127364808
"[15,25)","[50,70)",1.28303215528963
"[15,25)","[70,Inf)",0.120565937384525
"[25,50)","[0,15)",2.82131979181833
"[25,50)","[15,25)",2.5411970130377
"[25,50)","[25,50)",7.42230278205938
"[25,50)","[50,70)",2.00068378995486
"[25,50)","[70,Inf)",0.207466080382464
"[50,70)","[0,15)",1.43000854026181
"[50,70)","[15,25)",1.32801872707672
"[50,70)","[25,50)",4.33218063795565
"[50,70)","[50,70)",2.39334997393255
"[50,70)","[70,Inf)",0.358805013756405
"[70,Inf)","[0,15)",0.64506126554793
"[70,Inf)","[15,25)",0.404314369707091
"[70,Inf)","[25,50)",1.45546945914695
"[70,Inf)","[50,70)",1.16248242110494
"[70,Inf)","[70,Inf)",0.501639519248039
