"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.69136864754874
"[0,15)","[15,25)",0.769674420280618
"[0,15)","[25,50)",1.44260464365574
"[0,15)","[50,70)",0.356419495302069
"[0,15)","[70,Inf)",0.0639679037943076
"[15,25)","[0,15)",1.1549284169867
"[15,25)","[15,25)",4.62199762176025
"[15,25)","[25,50)",2.14675552249536
"[15,25)","[50,70)",0.458631872015866
"[15,25)","[70,Inf)",0.0600482071880412
"[25,50)","[0,15)",1.03474633000972
"[25,50)","[15,25)",1.0261743233868
"[25,50)","[25,50)",3.06138575015853
"[25,50)","[50,70)",0.854795174950177
"[25,50)","[70,Inf)",0.0978702234823613
"[50,70)","[0,15)",0.55357455987752
"[50,70)","[15,25)",0.474712743839093
"[50,70)","[25,50)",1.85093072924863
"[50,70)","[50,70)",1.18352648140127
"[50,70)","[70,Inf)",0.212510969668253
"[70,Inf)","[0,15)",0.321887923356646
"[70,Inf)","[15,25)",0.201369918966764
"[70,Inf)","[25,50)",0.686604388417913
"[70,Inf)","[50,70)",0.688508401666391
"[70,Inf)","[70,Inf)",0.302463621355288
