"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.53948079237176
"[0,15)","[15,25)",0.255696869584549
"[0,15)","[25,50)",0.74919296997521
"[0,15)","[50,70)",0.269781388925504
"[0,15)","[70,Inf)",0.00514540226839303
"[15,25)","[0,15)",0.345152860045967
"[15,25)","[15,25)",3.28471562366863
"[15,25)","[25,50)",0.608745849910623
"[15,25)","[50,70)",0.1907153181061
"[15,25)","[70,Inf)",0.001341490370844
"[25,50)","[0,15)",0.328720414478361
"[25,50)","[15,25)",0.198696337258036
"[25,50)","[25,50)",0.292961426072685
"[25,50)","[50,70)",0.0731234353369494
"[25,50)","[70,Inf)",0.00157243611342783
"[50,70)","[0,15)",0.173946014925691
"[50,70)","[15,25)",0.0914700329367972
"[50,70)","[25,50)",0.107454676895466
"[50,70)","[50,70)",0.0680835084058574
"[50,70)","[70,Inf)",0.00565285121036647
"[70,Inf)","[0,15)",0.00863154847826327
"[70,Inf)","[15,25)",0.00167397011959757
"[70,Inf)","[25,50)",0.00601186760137043
"[70,Inf)","[50,70)",0.0147065411659034
"[70,Inf)","[70,Inf)",0.00458866078677105
