"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",20.3399065549411
"[0,15)","[15,25)",1.88746499874837
"[0,15)","[25,50)",2.78434325421209
"[0,15)","[50,70)",0.382767415104742
"[0,15)","[70,Inf)",0.040535355864876
"[15,25)","[0,15)",4.4266213222106
"[15,25)","[15,25)",12.9047314501626
"[15,25)","[25,50)",3.70090775366069
"[15,25)","[50,70)",0.535468377541374
"[15,25)","[70,Inf)",0.035569733402652
"[25,50)","[0,15)",5.17850431232575
"[25,50)","[15,25)",2.9349206477457
"[25,50)","[25,50)",5.41701179380848
"[25,50)","[50,70)",0.844233900228559
"[25,50)","[70,Inf)",0.0622280770247757
"[50,70)","[0,15)",2.62890178816842
"[50,70)","[15,25)",1.56812170489916
"[50,70)","[25,50)",3.11760164313028
"[50,70)","[50,70)",1.00013367875518
"[50,70)","[70,Inf)",0.105477849504238
"[70,Inf)","[0,15)",1.27689307660351
"[70,Inf)","[15,25)",0.477757691356524
"[70,Inf)","[25,50)",1.05396297479983
"[70,Inf)","[50,70)",0.483773869068095
"[70,Inf)","[70,Inf)",0.185873269697169
