"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0268414586136183
"[0,15)","[15,25)",0.0595889276889047
"[0,15)","[25,50)",0.227137705617537
"[0,15)","[50,70)",0.0540823179075785
"[0,15)","[70,Inf)",0.0011551157078797
"[15,25)","[0,15)",0.0852955031570344
"[15,25)","[15,25)",0.637616867968089
"[15,25)","[25,50)",1.26751903615218
"[15,25)","[50,70)",0.28059414274255
"[15,25)","[70,Inf)",0.0111794938240689
"[25,50)","[0,15)",0.158497599461285
"[25,50)","[15,25)",0.617913067615791
"[25,50)","[25,50)",3.3310932742945
"[25,50)","[50,70)",0.726861608749034
"[25,50)","[70,Inf)",0.0309573112074413
"[50,70)","[0,15)",0.080365869521402
"[50,70)","[15,25)",0.291295910224785
"[50,70)","[25,50)",1.5478705157933
"[50,70)","[50,70)",0.582525287222939
"[50,70)","[70,Inf)",0.027005781183419
"[70,Inf)","[0,15)",0.00784362331243091
"[70,Inf)","[15,25)",0.0530338082703081
"[70,Inf)","[25,50)",0.301245811775315
"[70,Inf)","[50,70)",0.123404680563794
"[70,Inf)","[70,Inf)",0.00811779282080689
