"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.59362220088334
"[0,15)","[15,25)",0.575580816294144
"[0,15)","[25,50)",1.37125588560385
"[0,15)","[50,70)",0.527959941957374
"[0,15)","[70,Inf)",0.135272218241425
"[15,25)","[0,15)",0.804030962228771
"[15,25)","[15,25)",3.43112171115097
"[15,25)","[25,50)",2.00022147577981
"[15,25)","[50,70)",0.638691400106747
"[15,25)","[70,Inf)",0.127999208348176
"[25,50)","[0,15)",0.720579805234183
"[25,50)","[15,25)",0.752445770436758
"[25,50)","[25,50)",2.82472997898073
"[25,50)","[50,70)",1.24628868865792
"[25,50)","[70,Inf)",0.212387559754373
"[50,70)","[0,15)",0.380219956744798
"[50,70)","[15,25)",0.329274835685622
"[50,70)","[25,50)",1.70800448643776
"[50,70)","[50,70)",1.79141978789769
"[50,70)","[70,Inf)",0.471271703139811
"[70,Inf)","[0,15)",0.226458199559408
"[70,Inf)","[15,25)",0.153398198585497
"[70,Inf)","[25,50)",0.676620156921112
"[70,Inf)","[50,70)",1.09551131273418
"[70,Inf)","[70,Inf)",0.644337057259664
