"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.39440630710341
"[0,15)","[15,25)",0.472818930313412
"[0,15)","[25,50)",2.23901643570822
"[0,15)","[50,70)",0.35261272691766
"[0,15)","[70,Inf)",0.0348473206734582
"[15,25)","[0,15)",1.00494086430538
"[15,25)","[15,25)",1.10862716202448
"[15,25)","[25,50)",1.34284071362919
"[15,25)","[50,70)",0.460025268790547
"[15,25)","[70,Inf)",0.0276894185631274
"[25,50)","[0,15)",1.8305759029296
"[25,50)","[15,25)",0.516546364644361
"[25,50)","[25,50)",1.38330507327488
"[25,50)","[50,70)",0.381940910703661
"[25,50)","[70,Inf)",0.0397423472312271
"[50,70)","[0,15)",0.744245374506269
"[50,70)","[15,25)",0.456829560317792
"[50,70)","[25,50)",0.986015814535214
"[50,70)","[50,70)",0.63342721714443
"[50,70)","[70,Inf)",0.0547234696092731
"[70,Inf)","[0,15)",0.399997234056387
"[70,Inf)","[15,25)",0.149539451146247
"[70,Inf)","[25,50)",0.557969744492268
"[70,Inf)","[50,70)",0.297606944131098
"[70,Inf)","[70,Inf)",0.131570772887135
