"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.60455052056744
"[0,15)","[15,25)",0.244134845948831
"[0,15)","[25,50)",0.734132667909781
"[0,15)","[50,70)",0.174999917348387
"[0,15)","[70,Inf)",0.00140230178251762
"[15,25)","[0,15)",0.513239795770353
"[15,25)","[15,25)",3.64264940121723
"[15,25)","[25,50)",0.625043688009512
"[15,25)","[50,70)",0.136473320124515
"[15,25)","[70,Inf)",0.000396918948465987
"[25,50)","[0,15)",0.600212463828556
"[25,50)","[15,25)",0.240448406388899
"[25,50)","[25,50)",0.317477251347874
"[25,50)","[50,70)",0.0479272570382803
"[25,50)","[70,Inf)",0.000441292873817551
"[50,70)","[0,15)",0.369365224460346
"[50,70)","[15,25)",0.135525265800078
"[50,70)","[25,50)",0.123727268156658
"[50,70)","[50,70)",0.0459356364674243
"[50,70)","[70,Inf)",0.00153554320556916
"[70,Inf)","[0,15)",0.016096412105124
"[70,Inf)","[15,25)",0.00214360014703195
"[70,Inf)","[25,50)",0.00619560970109906
"[70,Inf)","[50,70)",0.00834920758568527
"[70,Inf)","[70,Inf)",0.00152983042861078
