"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",19.3321656295079
"[0,15)","[15,25)",1.95436274323655
"[0,15)","[25,50)",2.9413900481502
"[0,15)","[50,70)",0.408243208315204
"[0,15)","[70,Inf)",0.0481273403868741
"[15,25)","[0,15)",4.18377454874808
"[15,25)","[15,25)",13.1097158620591
"[15,25)","[25,50)",3.9362137349575
"[15,25)","[50,70)",0.568233211583728
"[15,25)","[70,Inf)",0.0427821920807926
"[25,50)","[0,15)",4.85632218684247
"[25,50)","[15,25)",3.03578105765288
"[25,50)","[25,50)",5.77052119705147
"[25,50)","[50,70)",0.899691898560885
"[25,50)","[70,Inf)",0.0730615190273098
"[50,70)","[0,15)",2.45795710380197
"[50,70)","[15,25)",1.59815480764734
"[50,70)","[25,50)",3.28090962564527
"[50,70)","[50,70)",1.06437036844334
"[50,70)","[70,Inf)",0.127160886413826
"[70,Inf)","[0,15)",1.18230453283845
"[70,Inf)","[15,25)",0.490950183635213
"[70,Inf)","[25,50)",1.08710455793229
"[70,Inf)","[50,70)",0.518842696755481
"[70,Inf)","[70,Inf)",0.216037063279839
