"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",5.83887941036302
"[0,15)","[15,25)",0.880896550976179
"[0,15)","[25,50)",1.09565333847605
"[0,15)","[50,70)",0.160526966927415
"[0,15)","[70,Inf)",0.0244657148371123
"[15,25)","[0,15)",1.88576689911246
"[15,25)","[15,25)",5.69078474376264
"[15,25)","[25,50)",1.6368879710051
"[15,25)","[50,70)",0.200515597637181
"[15,25)","[70,Inf)",0.0217498260362303
"[25,50)","[0,15)",1.80895614985693
"[25,50)","[15,25)",1.26243995638382
"[25,50)","[25,50)",2.45994415833918
"[25,50)","[50,70)",0.381924913243459
"[25,50)","[70,Inf)",0.0362567879168095
"[50,70)","[0,15)",0.966503277150366
"[50,70)","[15,25)",0.563949730215517
"[50,70)","[25,50)",1.39276693069989
"[50,70)","[50,70)",0.520241967681171
"[50,70)","[70,Inf)",0.0791133661545395
"[70,Inf)","[0,15)",0.601028964379253
"[70,Inf)","[15,25)",0.249591724200482
"[70,Inf)","[25,50)",0.539475772268229
"[70,Inf)","[50,70)",0.322798884174515
"[70,Inf)","[70,Inf)",0.129847333952343
