"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.58114766009708
"[0,15)","[15,25)",0.693966914484901
"[0,15)","[25,50)",1.4282748613087
"[0,15)","[50,70)",0.519880556545758
"[0,15)","[70,Inf)",0.104509393617222
"[15,25)","[0,15)",0.792282599295923
"[15,25)","[15,25)",3.91971647601037
"[15,25)","[25,50)",2.15725706867501
"[15,25)","[50,70)",0.656463000314826
"[15,25)","[70,Inf)",0.0970444011317945
"[25,50)","[0,15)",0.660753757024174
"[25,50)","[15,25)",0.874154902144043
"[25,50)","[25,50)",3.01617215936275
"[25,50)","[50,70)",1.25148766102366
"[25,50)","[70,Inf)",0.165353104674848
"[50,70)","[0,15)",0.351727549483339
"[50,70)","[15,25)",0.389019805388148
"[50,70)","[25,50)",1.83021257227301
"[50,70)","[50,70)",1.78160485625285
"[50,70)","[70,Inf)",0.35560425133435
"[70,Inf)","[0,15)",0.217070342038193
"[70,Inf)","[15,25)",0.176552672053215
"[70,Inf)","[25,50)",0.742385819116671
"[70,Inf)","[50,70)",1.09171504655454
"[70,Inf)","[70,Inf)",0.519865628525311
