"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",5.04575905000139
"[0,15)","[15,25)",0.297974027744335
"[0,15)","[25,50)",0.417672196705118
"[0,15)","[50,70)",0.0789588884824473
"[0,15)","[70,Inf)",0.0008089875530361
"[15,25)","[0,15)",0.750234503978298
"[15,25)","[15,25)",4.38349971367824
"[15,25)","[25,50)",0.39189395006642
"[15,25)","[50,70)",0.0650451067323668
"[15,25)","[70,Inf)",0.00025700031891375
"[25,50)","[0,15)",0.922739003100593
"[25,50)","[15,25)",0.340176051235917
"[25,50)","[25,50)",0.229579953980803
"[25,50)","[50,70)",0.0219126486180004
"[25,50)","[70,Inf)",0.000252778574800468
"[50,70)","[0,15)",0.55552693859012
"[50,70)","[15,25)",0.179837682900743
"[50,70)","[25,50)",0.069782375024823
"[50,70)","[50,70)",0.021777012753305
"[50,70)","[70,Inf)",0.000924806519961719
"[70,Inf)","[0,15)",0.0262146333158317
"[70,Inf)","[15,25)",0.00327263506972234
"[70,Inf)","[25,50)",0.0037076514220204
"[70,Inf)","[50,70)",0.00425793643125612
"[70,Inf)","[70,Inf)",0.0011500493100756
