"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.30276544561152
"[0,15)","[15,25)",0.603799381449478
"[0,15)","[25,50)",2.11851331108471
"[0,15)","[50,70)",0.309754199393914
"[0,15)","[70,Inf)",0.0462715741439021
"[15,25)","[0,15)",0.977612383451814
"[15,25)","[15,25)",1.39035267411954
"[15,25)","[25,50)",1.267557190438
"[15,25)","[50,70)",0.390543381791839
"[15,25)","[70,Inf)",0.0373504233009924
"[25,50)","[0,15)",1.71433996397738
"[25,50)","[15,25)",0.633518475801165
"[25,50)","[25,50)",1.34593966439446
"[25,50)","[50,70)",0.346595715218105
"[25,50)","[70,Inf)",0.0506773215116367
"[50,70)","[0,15)",0.694084381158571
"[50,70)","[15,25)",0.540493307728491
"[50,70)","[25,50)",0.959737591908614
"[50,70)","[50,70)",0.550833049270558
"[50,70)","[70,Inf)",0.0778265000254955
"[70,Inf)","[0,15)",0.363614205392221
"[70,Inf)","[15,25)",0.181279237176584
"[70,Inf)","[25,50)",0.492123912080381
"[70,Inf)","[50,70)",0.272934853698822
"[70,Inf)","[70,Inf)",0.164413348985965
