"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.25072079984939
"[0,15)","[15,25)",0.983951259049136
"[0,15)","[25,50)",1.3192225831962
"[0,15)","[50,70)",0.283426681306597
"[0,15)","[70,Inf)",0.0505826739431677
"[15,25)","[0,15)",1.33552402397292
"[15,25)","[15,25)",5.75708796675219
"[15,25)","[25,50)",2.07058891669917
"[15,25)","[50,70)",0.365584932009106
"[15,25)","[70,Inf)",0.0459351390618719
"[25,50)","[0,15)",1.14416237283589
"[25,50)","[15,25)",1.32307770195851
"[25,50)","[25,50)",2.97656800081946
"[25,50)","[50,70)",0.685079413205737
"[25,50)","[70,Inf)",0.0763880175634271
"[50,70)","[0,15)",0.616402441771836
"[50,70)","[15,25)",0.585778985337071
"[50,70)","[25,50)",1.71788841826514
"[50,70)","[50,70)",0.945660432663199
"[50,70)","[70,Inf)",0.16627728660856
"[70,Inf)","[0,15)",0.387175750653787
"[70,Inf)","[15,25)",0.259043847519895
"[70,Inf)","[25,50)",0.67415850913362
"[70,Inf)","[50,70)",0.585215304724086
"[70,Inf)","[70,Inf)",0.263191612635514
