"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.77545723011947
"[0,15)","[15,25)",0.593133440437944
"[0,15)","[25,50)",1.28185006904328
"[0,15)","[50,70)",0.512050813218666
"[0,15)","[70,Inf)",0.144102374363
"[15,25)","[0,15)",0.858297477357438
"[15,25)","[15,25)",3.55227441992351
"[15,25)","[25,50)",1.9109226865739
"[15,25)","[50,70)",0.625506687326528
"[15,25)","[70,Inf)",0.137569793201859
"[25,50)","[0,15)",0.766413308901655
"[25,50)","[15,25)",0.789557015763557
"[25,50)","[25,50)",2.68563701933152
"[25,50)","[50,70)",1.20935256259803
"[25,50)","[70,Inf)",0.222188098576552
"[50,70)","[0,15)",0.408917210794242
"[50,70)","[15,25)",0.345198468764127
"[50,70)","[25,50)",1.6152860864222
"[50,70)","[50,70)",1.72753577567585
"[50,70)","[70,Inf)",0.500116284712164
"[70,Inf)","[0,15)",0.235700670319745
"[70,Inf)","[15,25)",0.155498906461815
"[70,Inf)","[25,50)",0.607833548563975
"[70,Inf)","[50,70)",1.02432635652178
"[70,Inf)","[70,Inf)",0.664868493980443
