"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0200011422494807
"[0,15)","[15,25)",0.0444407018081055
"[0,15)","[25,50)",0.199912759962823
"[0,15)","[50,70)",0.068503760040273
"[0,15)","[70,Inf)",0.00325798623921272
"[15,25)","[0,15)",0.0643081972004945
"[15,25)","[15,25)",0.486477163455503
"[15,25)","[25,50)",1.1315780178755
"[15,25)","[50,70)",0.367951662966414
"[15,25)","[70,Inf)",0.0338459724352797
"[25,50)","[0,15)",0.1195270832018
"[25,50)","[15,25)",0.467546577982847
"[25,50)","[25,50)",2.93044703424082
"[25,50)","[50,70)",0.935403678054589
"[25,50)","[70,Inf)",0.109532393222519
"[50,70)","[0,15)",0.0547062239946568
"[50,70)","[15,25)",0.203061539082978
"[50,70)","[25,50)",1.24938301127323
"[50,70)","[50,70)",0.690817417523763
"[50,70)","[70,Inf)",0.0882791082895796
"[70,Inf)","[0,15)",0.00532891663908707
"[70,Inf)","[15,25)",0.0382570299724169
"[70,Inf)","[25,50)",0.299644596995414
"[70,Inf)","[50,70)",0.180811183549643
"[70,Inf)","[70,Inf)",0.0166133476183437
