"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.24422114212487
"[0,15)","[15,25)",0.21242975964621
"[0,15)","[25,50)",1.03029829070221
"[0,15)","[50,70)",0.119192232719863
"[0,15)","[70,Inf)",0.000827977820383395
"[15,25)","[0,15)",0.375854329343965
"[15,25)","[15,25)",3.06748766395375
"[15,25)","[25,50)",0.841581132425953
"[15,25)","[50,70)",0.0897942802150806
"[15,25)","[70,Inf)",0.000211813300425195
"[25,50)","[0,15)",0.432879575269723
"[25,50)","[15,25)",0.198379438654651
"[25,50)","[25,50)",0.499453577576832
"[25,50)","[50,70)",0.0329134991189696
"[25,50)","[70,Inf)",0.000238791839594949
"[50,70)","[0,15)",0.280458459544541
"[50,70)","[15,25)",0.118504352414456
"[50,70)","[25,50)",0.184323028139081
"[50,70)","[50,70)",0.0329914981776585
"[50,70)","[70,Inf)",0.000890574375693723
"[70,Inf)","[0,15)",0.0114621506747928
"[70,Inf)","[15,25)",0.00164462041121328
"[70,Inf)","[25,50)",0.00786797145655065
"[70,Inf)","[50,70)",0.00523803469544263
"[70,Inf)","[70,Inf)",0.000909642661795936
