"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.83814407402652
"[0,15)","[15,25)",0.322708198280244
"[0,15)","[25,50)",0.622931765710962
"[0,15)","[50,70)",0.129137689076165
"[0,15)","[70,Inf)",0.00149104978471544
"[15,25)","[0,15)",0.579364446327195
"[15,25)","[15,25)",4.11998215092023
"[15,25)","[25,50)",0.549567325829841
"[15,25)","[50,70)",0.0991071976152326
"[15,25)","[70,Inf)",0.000423036544455609
"[25,50)","[0,15)",0.669678266245355
"[25,50)","[15,25)",0.327856892002969
"[25,50)","[25,50)",0.304783977173197
"[25,50)","[50,70)",0.0346722895681375
"[25,50)","[70,Inf)",0.00043411065818723
"[50,70)","[0,15)",0.407825623111864
"[50,70)","[15,25)",0.173693883752524
"[50,70)","[25,50)",0.101852560387251
"[50,70)","[50,70)",0.0334966185655459
"[50,70)","[70,Inf)",0.00164127105126819
"[70,Inf)","[0,15)",0.0181977452552003
"[70,Inf)","[15,25)",0.00286524098468984
"[70,Inf)","[25,50)",0.00492833429310409
"[70,Inf)","[50,70)",0.00634182779253987
"[70,Inf)","[70,Inf)",0.00158249850799927
