"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0242025267720467
"[0,15)","[15,25)",0.0503076568162919
"[0,15)","[25,50)",0.229488942880445
"[0,15)","[50,70)",0.0521170463162689
"[0,15)","[70,Inf)",0.001638794604719
"[15,25)","[0,15)",0.0790430527603695
"[15,25)","[15,25)",0.568679901642964
"[15,25)","[25,50)",1.31666550808476
"[15,25)","[50,70)",0.280035304390915
"[15,25)","[70,Inf)",0.0173360316887378
"[25,50)","[0,15)",0.150727527217496
"[25,50)","[15,25)",0.550397753077787
"[25,50)","[25,50)",3.42215522099709
"[25,50)","[50,70)",0.713736352610786
"[25,50)","[70,Inf)",0.0524987611518372
"[50,70)","[0,15)",0.0743428349872533
"[50,70)","[15,25)",0.254239189515179
"[50,70)","[25,50)",1.55012361400668
"[50,70)","[50,70)",0.561765113373668
"[50,70)","[70,Inf)",0.045455045694879
"[70,Inf)","[0,15)",0.00674892075724646
"[70,Inf)","[15,25)",0.0454391166724503
"[70,Inf)","[25,50)",0.32917591367353
"[70,Inf)","[50,70)",0.131229833602178
"[70,Inf)","[70,Inf)",0.00945776794816254
