"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.74103178872004
"[0,15)","[15,25)",0.652944069814761
"[0,15)","[25,50)",1.88007677683169
"[0,15)","[50,70)",0.272364962468471
"[0,15)","[70,Inf)",0.0279734560840712
"[15,25)","[0,15)",1.17375052906438
"[15,25)","[15,25)",1.51049930747003
"[15,25)","[25,50)",1.14664588843038
"[15,25)","[50,70)",0.348328798108547
"[15,25)","[70,Inf)",0.0215318518595052
"[25,50)","[0,15)",2.03441831711777
"[25,50)","[15,25)",0.69023054034258
"[25,50)","[25,50)",1.20194854020837
"[25,50)","[50,70)",0.305316803961113
"[25,50)","[70,Inf)",0.0304555482350068
"[50,70)","[0,15)",0.835589991720154
"[50,70)","[15,25)",0.594472204501529
"[50,70)","[25,50)",0.86562148313225
"[50,70)","[50,70)",0.486024908039269
"[50,70)","[70,Inf)",0.0407637258354409
"[70,Inf)","[0,15)",0.48393654551746
"[70,Inf)","[15,25)",0.207216272834355
"[70,Inf)","[25,50)",0.486904785596998
"[70,Inf)","[50,70)",0.22986570153507
"[70,Inf)","[70,Inf)",0.111325457502253
