"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",7.08259308064789
"[0,15)","[15,25)",0.984337017679482
"[0,15)","[25,50)",4.08635194216758
"[0,15)","[50,70)",1.37352818231186
"[0,15)","[70,Inf)",0.319246732821468
"[15,25)","[0,15)",1.44223954449269
"[15,25)","[15,25)",6.06449174599702
"[15,25)","[25,50)",5.335049578977
"[15,25)","[50,70)",1.7631650988543
"[15,25)","[70,Inf)",0.308240717526912
"[25,50)","[0,15)",1.68464668201807
"[25,50)","[15,25)",1.50112874449047
"[25,50)","[25,50)",7.42686548927206
"[25,50)","[50,70)",2.9160460396573
"[25,50)","[70,Inf)",0.539194770282735
"[50,70)","[0,15)",0.797939386057605
"[50,70)","[15,25)",0.699087805517625
"[50,70)","[25,50)",4.10916557492248
"[50,70)","[50,70)",3.52497681707245
"[50,70)","[70,Inf)",0.932262853638889
"[70,Inf)","[0,15)",0.368154707477223
"[70,Inf)","[15,25)",0.242605321161179
"[70,Inf)","[25,50)",1.50826101273208
"[70,Inf)","[50,70)",1.85058888391872
"[70,Inf)","[70,Inf)",1.21154345736332
