"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.9085981509181
"[0,15)","[15,25)",0.453948697010494
"[0,15)","[25,50)",2.7471393403684
"[0,15)","[50,70)",0.33598861721829
"[0,15)","[70,Inf)",0.0274694237595084
"[15,25)","[0,15)",0.801042627484246
"[15,25)","[15,25)",1.05313036472301
"[15,25)","[25,50)",1.67588099400876
"[15,25)","[50,70)",0.471936364706858
"[15,25)","[70,Inf)",0.0215153933183704
"[25,50)","[0,15)",1.45519348129914
"[25,50)","[15,25)",0.503076897819657
"[25,50)","[25,50)",1.67143509541622
"[25,50)","[50,70)",0.351544825198676
"[25,50)","[70,Inf)",0.0327023046577741
"[50,70)","[0,15)",0.588766864649132
"[50,70)","[15,25)",0.468655140394954
"[50,70)","[25,50)",1.16294574210949
"[50,70)","[50,70)",0.61467344682764
"[50,70)","[70,Inf)",0.0427439792098099
"[70,Inf)","[0,15)",0.318891494358526
"[70,Inf)","[15,25)",0.141544768511043
"[70,Inf)","[25,50)",0.71669057693373
"[70,Inf)","[50,70)",0.283171499561297
"[70,Inf)","[70,Inf)",0.102815703955676
