"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.73203498198457
"[0,15)","[15,25)",0.459034321850193
"[0,15)","[25,50)",1.57938181495763
"[0,15)","[50,70)",0.638588111077125
"[0,15)","[70,Inf)",0.103678100635268
"[15,25)","[0,15)",0.521261055129177
"[15,25)","[15,25)",2.85545088689583
"[15,25)","[25,50)",2.32676406537224
"[15,25)","[50,70)",0.818890570955057
"[15,25)","[70,Inf)",0.0981848283049159
"[25,50)","[0,15)",0.499691400353394
"[25,50)","[15,25)",0.648271561120292
"[25,50)","[25,50)",3.18919878553227
"[25,50)","[50,70)",1.51261276998769
"[25,50)","[70,Inf)",0.168334850333095
"[50,70)","[0,15)",0.264794731460739
"[50,70)","[15,25)",0.299022770893573
"[50,70)","[25,50)",1.98244675361137
"[50,70)","[50,70)",2.15759685170099
"[50,70)","[70,Inf)",0.353934740165991
"[70,Inf)","[0,15)",0.158877221836794
"[70,Inf)","[15,25)",0.132497861749477
"[70,Inf)","[25,50)",0.815330896032569
"[70,Inf)","[50,70)",1.30800464465956
"[70,Inf)","[70,Inf)",0.51355170757126
