"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.90048951397681
"[0,15)","[15,25)",0.305943500964234
"[0,15)","[25,50)",0.562748311641698
"[0,15)","[50,70)",0.114276957607889
"[0,15)","[70,Inf)",0.00123425743530056
"[15,25)","[0,15)",0.644028803349961
"[15,25)","[15,25)",4.20965624224429
"[15,25)","[25,50)",0.503755584502732
"[15,25)","[50,70)",0.0909938120930144
"[15,25)","[70,Inf)",0.00035946820715711
"[25,50)","[0,15)",0.768956019381223
"[25,50)","[15,25)",0.324559250743689
"[25,50)","[25,50)",0.265091628003249
"[25,50)","[50,70)",0.0308804861421266
"[25,50)","[70,Inf)",0.000369401660481239
"[50,70)","[0,15)",0.477431674088121
"[50,70)","[15,25)",0.179263207739189
"[50,70)","[25,50)",0.0944143608354798
"[50,70)","[50,70)",0.0302155855722309
"[50,70)","[70,Inf)",0.00135116192608018
"[70,Inf)","[0,15)",0.0208756410971096
"[70,Inf)","[15,25)",0.00286695780141609
"[70,Inf)","[25,50)",0.00457241470295252
"[70,Inf)","[50,70)",0.00546900156155548
"[70,Inf)","[70,Inf)",0.00134377420817123
