"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0368624191778763
"[0,15)","[15,25)",0.0557989996470792
"[0,15)","[25,50)",0.176539613895116
"[0,15)","[50,70)",0.0304288999904906
"[0,15)","[70,Inf)",0.000651049155776955
"[15,25)","[0,15)",0.118331308677708
"[15,25)","[15,25)",0.646023268723066
"[15,25)","[25,50)",0.997977769239184
"[15,25)","[50,70)",0.157673998030159
"[15,25)","[70,Inf)",0.00672632033902277
"[25,50)","[0,15)",0.241228975646078
"[25,50)","[15,25)",0.643035445511098
"[25,50)","[25,50)",2.69313944831307
"[25,50)","[50,70)",0.419430297786814
"[25,50)","[70,Inf)",0.0197246800799156
"[50,70)","[0,15)",0.127127296414103
"[50,70)","[15,25)",0.310627129623452
"[50,70)","[25,50)",1.28240456926993
"[50,70)","[50,70)",0.349843666728427
"[50,70)","[70,Inf)",0.0179366908090402
"[70,Inf)","[0,15)",0.0110115346473617
"[70,Inf)","[15,25)",0.0536461255455527
"[70,Inf)","[25,50)",0.244150004878014
"[70,Inf)","[50,70)",0.0726145805734032
"[70,Inf)","[70,Inf)",0.00458805841732653
