"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",5.44609182928795
"[0,15)","[15,25)",0.891257523016715
"[0,15)","[25,50)",1.20951561517737
"[0,15)","[50,70)",0.18333446789011
"[0,15)","[70,Inf)",0.0245418492373083
"[15,25)","[0,15)",1.74737091926482
"[15,25)","[15,25)",5.62962344195175
"[15,25)","[25,50)",1.80811519123764
"[15,25)","[50,70)",0.234204309063544
"[15,25)","[70,Inf)",0.0217846950189248
"[25,50)","[0,15)",1.64355957376828
"[25,50)","[15,25)",1.25319360768234
"[25,50)","[25,50)",2.68839647925134
"[25,50)","[50,70)",0.439379604873013
"[25,50)","[70,Inf)",0.0367062962839476
"[50,70)","[0,15)",0.879364320128206
"[50,70)","[15,25)",0.572977679508801
"[50,70)","[25,50)",1.55092444427282
"[50,70)","[50,70)",0.597394360043178
"[50,70)","[70,Inf)",0.078408309098705
"[70,Inf)","[0,15)",0.550688043559209
"[70,Inf)","[15,25)",0.249326219954343
"[70,Inf)","[25,50)",0.606128853655258
"[70,Inf)","[50,70)",0.366805411086131
"[70,Inf)","[70,Inf)",0.130624241484415
