"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0383483789082294
"[0,15)","[15,25)",0.0623113749437007
"[0,15)","[25,50)",0.17872555276753
"[0,15)","[50,70)",0.0266926173759578
"[0,15)","[70,Inf)",0.000520758914876593
"[15,25)","[0,15)",0.122165683547321
"[15,25)","[15,25)",0.703072127443036
"[15,25)","[25,50)",1.02153403276032
"[15,25)","[50,70)",0.137457229161781
"[15,25)","[70,Inf)",0.00519054603905539
"[25,50)","[0,15)",0.242862588661187
"[25,50)","[15,25)",0.708019005696713
"[25,50)","[25,50)",2.72886936001515
"[25,50)","[50,70)",0.359807293192829
"[25,50)","[70,Inf)",0.0143395025842583
"[50,70)","[0,15)",0.128031218577627
"[50,70)","[15,25)",0.336287254968728
"[50,70)","[25,50)",1.27004967925554
"[50,70)","[50,70)",0.302925192747141
"[50,70)","[70,Inf)",0.0130301333741106
"[70,Inf)","[0,15)",0.0116851711224537
"[70,Inf)","[15,25)",0.0594058912595484
"[70,Inf)","[25,50)",0.236787340137721
"[70,Inf)","[50,70)",0.0609568486266045
"[70,Inf)","[70,Inf)",0.00398098889573955
