"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.79428902391243
"[0,15)","[15,25)",0.336913374432676
"[0,15)","[25,50)",0.667347355499831
"[0,15)","[50,70)",0.172855759987492
"[0,15)","[70,Inf)",0.00318343600139058
"[15,25)","[0,15)",0.483206929500073
"[15,25)","[15,25)",3.94287498362861
"[15,25)","[25,50)",0.576214073773656
"[15,25)","[50,70)",0.12580582519735
"[15,25)","[70,Inf)",0.000811447538264664
"[25,50)","[0,15)",0.520314741195204
"[25,50)","[15,25)",0.313842726010006
"[25,50)","[25,50)",0.309226160888218
"[25,50)","[50,70)",0.0456494697665227
"[25,50)","[70,Inf)",0.000831256576352986
"[50,70)","[0,15)",0.302177359028938
"[50,70)","[15,25)",0.153641664611092
"[50,70)","[25,50)",0.102351875317197
"[50,70)","[50,70)",0.0433690438815446
"[50,70)","[70,Inf)",0.00339196319225072
"[70,Inf)","[0,15)",0.0138493971467221
"[70,Inf)","[15,25)",0.00246618345992046
"[70,Inf)","[25,50)",0.00463826602508514
"[70,Inf)","[50,70)",0.00844068877106956
"[70,Inf)","[70,Inf)",0.00248706169960426
