"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",7.55466831304058
"[0,15)","[15,25)",1.21441416049536
"[0,15)","[25,50)",3.76828853164034
"[0,15)","[50,70)",1.38536144765278
"[0,15)","[70,Inf)",0.332736698522189
"[15,25)","[0,15)",1.54993490489745
"[15,25)","[15,25)",7.13503331760531
"[15,25)","[25,50)",5.06656249946985
"[15,25)","[50,70)",1.78977701284934
"[15,25)","[70,Inf)",0.311519976673477
"[25,50)","[0,15)",1.67523308176966
"[25,50)","[15,25)",1.76480961095798
"[25,50)","[25,50)",6.97061764800637
"[25,50)","[50,70)",2.9386166072105
"[25,50)","[70,Inf)",0.552781178609296
"[50,70)","[0,15)",0.813444193363291
"[50,70)","[15,25)",0.823411551410551
"[50,70)","[25,50)",3.88129365378848
"[50,70)","[50,70)",3.54477114588276
"[50,70)","[70,Inf)",0.944142826453745
"[70,Inf)","[0,15)",0.388972179714706
"[70,Inf)","[15,25)",0.285336350940543
"[70,Inf)","[25,50)",1.45358352797023
"[70,Inf)","[50,70)",1.87971007668607
"[70,Inf)","[70,Inf)",1.33037193147714
