"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.62306112368345
"[0,15)","[15,25)",0.26604904531522
"[0,15)","[25,50)",0.698860204700427
"[0,15)","[50,70)",0.268051673456706
"[0,15)","[70,Inf)",0.00696754043316017
"[15,25)","[0,15)",0.341376765070026
"[15,25)","[15,25)",3.31894513989984
"[15,25)","[25,50)",0.567047537232595
"[15,25)","[50,70)",0.186788402645521
"[15,25)","[70,Inf)",0.00176449442303042
"[25,50)","[0,15)",0.310685799300203
"[25,50)","[15,25)",0.197524364535615
"[25,50)","[25,50)",0.268515252204358
"[25,50)","[50,70)",0.0721788779893617
"[25,50)","[70,Inf)",0.00202826561523619
"[50,70)","[0,15)",0.157392193686424
"[50,70)","[15,25)",0.0859345758179062
"[50,70)","[25,50)",0.095332848061887
"[50,70)","[50,70)",0.0679462940392683
"[50,70)","[70,Inf)",0.00754876848991748
"[70,Inf)","[0,15)",0.00814511714990742
"[70,Inf)","[15,25)",0.00161618656144855
"[70,Inf)","[25,50)",0.00533349108606236
"[70,Inf)","[50,70)",0.0150284454099583
"[70,Inf)","[70,Inf)",0.00559978374514599
