"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",19.0188708303314
"[0,15)","[15,25)",1.9944584511917
"[0,15)","[25,50)",3.08526281466511
"[0,15)","[50,70)",0.509670618310431
"[0,15)","[70,Inf)",0.0497211378826118
"[15,25)","[0,15)",4.1498941326302
"[15,25)","[15,25)",12.8911180690069
"[15,25)","[25,50)",4.08321108690273
"[15,25)","[50,70)",0.709899905804342
"[15,25)","[70,Inf)",0.0447761811318187
"[25,50)","[0,15)",4.57973261104192
"[25,50)","[15,25)",2.91298176009858
"[25,50)","[25,50)",5.92476069998136
"[25,50)","[50,70)",1.12084795966306
"[25,50)","[70,Inf)",0.0774155041373312
"[50,70)","[0,15)",2.34022157946489
"[50,70)","[15,25)",1.56657963354776
"[50,70)","[25,50)",3.46709809886477
"[50,70)","[50,70)",1.34100076131957
"[50,70)","[70,Inf)",0.133330265009497
"[70,Inf)","[0,15)",1.09062004349608
"[70,Inf)","[15,25)",0.472027653672242
"[70,Inf)","[25,50)",1.14396412392703
"[70,Inf)","[50,70)",0.636933037867706
"[70,Inf)","[70,Inf)",0.209141542863001
