"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.77280252272329
"[0,15)","[15,25)",0.311559172767626
"[0,15)","[25,50)",0.684504946081265
"[0,15)","[50,70)",0.209362422280616
"[0,15)","[70,Inf)",0.00255862252849772
"[15,25)","[0,15)",0.487980199212399
"[15,25)","[15,25)",3.87213433916213
"[15,25)","[25,50)",0.583540954314199
"[15,25)","[50,70)",0.155163444964787
"[15,25)","[70,Inf)",0.000670200756649455
"[25,50)","[0,15)",0.526395422049274
"[25,50)","[15,25)",0.286130878769039
"[25,50)","[25,50)",0.29367890334456
"[25,50)","[50,70)",0.05514301671577
"[25,50)","[70,Inf)",0.000725879679377943
"[50,70)","[0,15)",0.316320491409127
"[50,70)","[15,25)",0.149481533761266
"[50,70)","[25,50)",0.108338234347942
"[50,70)","[50,70)",0.05212160674229
"[50,70)","[70,Inf)",0.00268517359889595
"[70,Inf)","[0,15)",0.0142875434747553
"[70,Inf)","[15,25)",0.00238630416304851
"[70,Inf)","[25,50)",0.00527084774262977
"[70,Inf)","[50,70)",0.00992316426389425
"[70,Inf)","[70,Inf)",0.00226002055340419
