"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",7.20874905036012
"[0,15)","[15,25)",1.00173022824909
"[0,15)","[25,50)",4.16560364076149
"[0,15)","[50,70)",1.39330623812566
"[0,15)","[70,Inf)",0.287740543941155
"[15,25)","[0,15)",1.46987312233011
"[15,25)","[15,25)",6.21731907978291
"[15,25)","[25,50)",5.4700627848506
"[15,25)","[50,70)",1.83074370477393
"[15,25)","[70,Inf)",0.27159761774086
"[25,50)","[0,15)",1.7230001182681
"[25,50)","[15,25)",1.54195111317402
"[25,50)","[25,50)",7.5698191845856
"[25,50)","[50,70)",2.96815078945087
"[25,50)","[70,Inf)",0.487753874568965
"[50,70)","[0,15)",0.826761190859952
"[50,70)","[15,25)",0.740341305954129
"[50,70)","[25,50)",4.25806314957395
"[50,70)","[50,70)",3.57802128777435
"[50,70)","[70,Inf)",0.818294504726678
"[70,Inf)","[0,15)",0.389918216206997
"[70,Inf)","[15,25)",0.250824151494181
"[70,Inf)","[25,50)",1.59795972722108
"[70,Inf)","[50,70)",1.86873878305261
"[70,Inf)","[70,Inf)",1.15534232813464
