"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.12142624262966
"[0,15)","[15,25)",0.410898140580948
"[0,15)","[25,50)",1.3407814483153
"[0,15)","[50,70)",0.596940810797039
"[0,15)","[70,Inf)",0.180730741309115
"[15,25)","[0,15)",0.654243328083705
"[15,25)","[15,25)",2.5013261097893
"[15,25)","[25,50)",1.87652282783831
"[15,25)","[50,70)",0.717084777731088
"[15,25)","[70,Inf)",0.174523943040722
"[25,50)","[0,15)",0.60176415953398
"[25,50)","[15,25)",0.52895295943319
"[25,50)","[25,50)",2.66592296491335
"[25,50)","[50,70)",1.39436459233061
"[25,50)","[70,Inf)",0.286289614800144
"[50,70)","[0,15)",0.318421426092717
"[50,70)","[15,25)",0.240235060036443
"[50,70)","[25,50)",1.65721567373367
"[50,70)","[50,70)",2.00737611522153
"[50,70)","[70,Inf)",0.633668159425743
"[70,Inf)","[0,15)",0.179951741812711
"[70,Inf)","[15,25)",0.109137478271394
"[70,Inf)","[25,50)",0.63512804948576
"[70,Inf)","[50,70)",1.18280975610147
"[70,Inf)","[70,Inf)",0.806243533095963
