"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.38580712253712
"[0,15)","[15,25)",0.605669790608967
"[0,15)","[25,50)",2.14002440107059
"[0,15)","[50,70)",0.289608519046208
"[0,15)","[70,Inf)",0.0397855922642717
"[15,25)","[0,15)",1.01671948955921
"[15,25)","[15,25)",1.399540407363
"[15,25)","[25,50)",1.25873133859517
"[15,25)","[50,70)",0.366207681331853
"[15,25)","[70,Inf)",0.031703457509799
"[25,50)","[0,15)",1.80184314981118
"[25,50)","[15,25)",0.631344013262242
"[25,50)","[25,50)",1.35963923857604
"[25,50)","[50,70)",0.323564882731501
"[25,50)","[70,Inf)",0.0430958529432563
"[50,70)","[0,15)",0.727826634337124
"[50,70)","[15,25)",0.548250233042482
"[50,70)","[25,50)",0.965783395128541
"[50,70)","[50,70)",0.513799091014718
"[50,70)","[70,Inf)",0.0643476724528159
"[70,Inf)","[0,15)",0.392832162466468
"[70,Inf)","[15,25)",0.186475852871965
"[70,Inf)","[25,50)",0.505380444494589
"[70,Inf)","[50,70)",0.252811858437037
"[70,Inf)","[70,Inf)",0.14673999397108
