"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.15498342641984
"[0,15)","[15,25)",0.661737635287923
"[0,15)","[25,50)",1.7314978969028
"[0,15)","[50,70)",0.209771117876786
"[0,15)","[70,Inf)",0.0236596982586171
"[15,25)","[0,15)",1.35444836244825
"[15,25)","[15,25)",1.54019763846724
"[15,25)","[25,50)",1.03398338278364
"[15,25)","[50,70)",0.268943384691982
"[15,25)","[70,Inf)",0.0184333511497567
"[25,50)","[0,15)",2.36459933702928
"[25,50)","[15,25)",0.689878383446142
"[25,50)","[25,50)",1.11478726153121
"[25,50)","[50,70)",0.236013529050837
"[25,50)","[70,Inf)",0.0252262927072719
"[50,70)","[0,15)",0.968688837538425
"[50,70)","[15,25)",0.606768255571788
"[50,70)","[25,50)",0.798068016733545
"[50,70)","[50,70)",0.371682606159547
"[50,70)","[70,Inf)",0.0346687007462542
"[70,Inf)","[0,15)",0.557728858820773
"[70,Inf)","[15,25)",0.212295893916502
"[70,Inf)","[25,50)",0.43544343868215
"[70,Inf)","[50,70)",0.176975390344191
"[70,Inf)","[70,Inf)",0.0954623102430549
