"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.97229501896685
"[0,15)","[15,25)",0.323967810140598
"[0,15)","[25,50)",0.570326772906887
"[0,15)","[50,70)",0.104942613231304
"[0,15)","[70,Inf)",0.000943308134215881
"[15,25)","[0,15)",0.658344569365555
"[15,25)","[15,25)",4.29688334805058
"[15,25)","[25,50)",0.507023544558989
"[15,25)","[50,70)",0.082700240872107
"[15,25)","[70,Inf)",0.000281802201496362
"[25,50)","[0,15)",0.778859917484138
"[25,50)","[15,25)",0.338259711434454
"[25,50)","[25,50)",0.277853229442247
"[25,50)","[50,70)",0.0280672927950403
"[25,50)","[70,Inf)",0.000295122434786143
"[50,70)","[0,15)",0.484607886196167
"[50,70)","[15,25)",0.186581577185122
"[50,70)","[25,50)",0.0949057641044374
"[50,70)","[50,70)",0.0275660473301178
"[50,70)","[70,Inf)",0.00102449483105349
"[70,Inf)","[0,15)",0.0222365544759626
"[70,Inf)","[15,25)",0.00324550049463458
"[70,Inf)","[25,50)",0.00509425341752582
"[70,Inf)","[50,70)",0.00522823414967108
"[70,Inf)","[70,Inf)",0.00126484714921515
