"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0178545872971188
"[0,15)","[15,25)",0.0450538667377751
"[0,15)","[25,50)",0.224820095947432
"[0,15)","[50,70)",0.080797497548287
"[0,15)","[70,Inf)",0.00257620220012305
"[15,25)","[0,15)",0.0572005913834072
"[15,25)","[15,25)",0.481451744211463
"[15,25)","[25,50)",1.24948229395545
"[15,25)","[50,70)",0.428379854529181
"[15,25)","[70,Inf)",0.026006830315989
"[25,50)","[0,15)",0.103597395305472
"[25,50)","[15,25)",0.453497988406708
"[25,50)","[25,50)",3.25068386103382
"[25,50)","[50,70)",1.10094672269806
"[25,50)","[70,Inf)",0.081945819630409
"[50,70)","[0,15)",0.0503424241684773
"[50,70)","[15,25)",0.210231023556436
"[50,70)","[25,50)",1.48863700287361
"[50,70)","[50,70)",0.839958852187729
"[50,70)","[70,Inf)",0.067910318396986
"[70,Inf)","[0,15)",0.0047945141200669
"[70,Inf)","[15,25)",0.0381226981591342
"[70,Inf)","[25,50)",0.330961709517451
"[70,Inf)","[50,70)",0.202844953417219
"[70,Inf)","[70,Inf)",0.0138825924094686
