"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.88488719175071
"[0,15)","[15,25)",0.711364156942306
"[0,15)","[25,50)",1.63288108101576
"[0,15)","[50,70)",0.253483040415997
"[0,15)","[70,Inf)",0.0374399788404801
"[15,25)","[0,15)",1.24176678176811
"[15,25)","[15,25)",1.64585496811188
"[15,25)","[25,50)",0.98679830043396
"[15,25)","[50,70)",0.318187909733417
"[15,25)","[70,Inf)",0.0297002246145443
"[25,50)","[0,15)",2.1138869514791
"[25,50)","[15,25)",0.731825493895608
"[25,50)","[25,50)",1.10083512550439
"[25,50)","[50,70)",0.294698547942632
"[25,50)","[70,Inf)",0.0383411569554335
"[50,70)","[0,15)",0.881971276320496
"[50,70)","[15,25)",0.634221774387687
"[50,70)","[25,50)",0.79205680394445
"[50,70)","[50,70)",0.450991345120002
"[50,70)","[70,Inf)",0.0579205361320827
"[70,Inf)","[0,15)",0.491244147957398
"[70,Inf)","[15,25)",0.223240748447314
"[70,Inf)","[25,50)",0.388597326270349
"[70,Inf)","[50,70)",0.218418205453436
"[70,Inf)","[70,Inf)",0.145029269284249
