"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.29240776219553
"[0,15)","[15,25)",0.584194455356687
"[0,15)","[25,50)",1.52076552435794
"[0,15)","[50,70)",0.424925266390847
"[0,15)","[70,Inf)",0.0742092250400866
"[15,25)","[0,15)",1.01842675857311
"[15,25)","[15,25)",3.71617630201746
"[15,25)","[25,50)",2.16775744518264
"[15,25)","[50,70)",0.532547139373631
"[15,25)","[70,Inf)",0.0692493319890653
"[25,50)","[0,15)",0.995868856999366
"[25,50)","[15,25)",0.81428832540575
"[25,50)","[25,50)",3.10109498453235
"[25,50)","[50,70)",1.00407534538098
"[25,50)","[70,Inf)",0.115680604182472
"[50,70)","[0,15)",0.525973235716369
"[50,70)","[15,25)",0.378126204527473
"[50,70)","[25,50)",1.89791824509588
"[50,70)","[50,70)",1.40413382696725
"[50,70)","[70,Inf)",0.248492487295765
"[70,Inf)","[0,15)",0.310667242047802
"[70,Inf)","[15,25)",0.166295609458927
"[70,Inf)","[25,50)",0.739534128980426
"[70,Inf)","[50,70)",0.840426501397799
"[70,Inf)","[70,Inf)",0.35954000436498
