"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.3705800647334
"[0,15)","[15,25)",0.659204736921488
"[0,15)","[25,50)",1.623756886728
"[0,15)","[50,70)",0.186990495053457
"[0,15)","[70,Inf)",0.0219324728933497
"[15,25)","[0,15)",1.44678900487205
"[15,25)","[15,25)",1.54223106844385
"[15,25)","[25,50)",0.961234795064769
"[15,25)","[50,70)",0.239627666086788
"[15,25)","[70,Inf)",0.0173351983927716
"[25,50)","[0,15)",2.53644821940918
"[25,50)","[15,25)",0.684147269137314
"[25,50)","[25,50)",1.05525376543571
"[25,50)","[50,70)",0.211673616158017
"[25,50)","[70,Inf)",0.0230327178658209
"[50,70)","[0,15)",1.04222451616898
"[50,70)","[15,25)",0.608546587121525
"[50,70)","[25,50)",0.755272179738841
"[50,70)","[50,70)",0.330790182633996
"[50,70)","[70,Inf)",0.0329226534277088
"[70,Inf)","[0,15)",0.587916521518238
"[70,Inf)","[15,25)",0.211724930852445
"[70,Inf)","[25,50)",0.39524670364803
"[70,Inf)","[50,70)",0.158336536337371
"[70,Inf)","[70,Inf)",0.0873473305230955
