"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",9.65551630478016
"[0,15)","[15,25)",1.40026147007464
"[0,15)","[25,50)",3.69246149993317
"[0,15)","[50,70)",1.13614876406913
"[0,15)","[70,Inf)",0.260533819329703
"[15,25)","[0,15)",2.00048821734684
"[15,25)","[15,25)",8.58469991240872
"[15,25)","[25,50)",4.99738328550527
"[15,25)","[50,70)",1.51501441881845
"[15,25)","[70,Inf)",0.259035076862797
"[25,50)","[0,15)",2.23499385083133
"[25,50)","[15,25)",2.11726957988361
"[25,50)","[25,50)",6.89953064871787
"[25,50)","[50,70)",2.43746688375881
"[25,50)","[70,Inf)",0.433263726129818
"[50,70)","[0,15)",1.10413013265828
"[50,70)","[15,25)",1.03056400397183
"[50,70)","[25,50)",3.91348279676531
"[50,70)","[50,70)",2.92546825692319
"[50,70)","[70,Inf)",0.776927164433895
"[70,Inf)","[0,15)",0.474474990792185
"[70,Inf)","[15,25)",0.330202942026415
"[70,Inf)","[25,50)",1.30359051990287
"[70,Inf)","[50,70)",1.45594330713677
"[70,Inf)","[70,Inf)",0.931957395324776
