"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.62486366467936
"[0,15)","[15,25)",0.273861998489662
"[0,15)","[25,50)",0.659285389962905
"[0,15)","[50,70)",0.253135984838775
"[0,15)","[70,Inf)",0.00637332606519076
"[15,25)","[0,15)",0.378219722729858
"[15,25)","[15,25)",3.45120463105497
"[15,25)","[25,50)",0.547387320052703
"[15,25)","[50,70)",0.179181286555466
"[15,25)","[70,Inf)",0.00150864837625727
"[25,50)","[0,15)",0.366245489067202
"[25,50)","[15,25)",0.220737321155786
"[25,50)","[25,50)",0.270730434596189
"[25,50)","[50,70)",0.0684986239294227
"[25,50)","[70,Inf)",0.00165838778764013
"[50,70)","[0,15)",0.189908262039098
"[50,70)","[15,25)",0.0975786576850301
"[50,70)","[25,50)",0.0925067920216161
"[50,70)","[50,70)",0.0645071930499901
"[50,70)","[70,Inf)",0.00657985274189236
"[70,Inf)","[0,15)",0.00990713426710767
"[70,Inf)","[15,25)",0.00170232374666611
"[70,Inf)","[25,50)",0.00464054693169441
"[70,Inf)","[50,70)",0.0136329377169216
"[70,Inf)","[70,Inf)",0.00448295442454563
