"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",12.8002579503668
"[0,15)","[15,25)",1.52103135867726
"[0,15)","[25,50)",4.18910698175518
"[0,15)","[50,70)",0.834912698322849
"[0,15)","[70,Inf)",0.0738193228175152
"[15,25)","[0,15)",2.63743953604671
"[15,25)","[15,25)",9.91104605460654
"[15,25)","[25,50)",5.56315698805793
"[15,25)","[50,70)",1.18086175779174
"[15,25)","[70,Inf)",0.0680498342354552
"[25,50)","[0,15)",3.19644811360465
"[25,50)","[15,25)",2.44806631951954
"[25,50)","[25,50)",7.87322608223245
"[25,50)","[50,70)",1.83477164715153
"[25,50)","[70,Inf)",0.117340657619083
"[50,70)","[0,15)",1.59527502579426
"[50,70)","[15,25)",1.30121545804267
"[50,70)","[25,50)",4.59441596832175
"[50,70)","[50,70)",2.20469657587812
"[50,70)","[70,Inf)",0.200844796106242
"[70,Inf)","[0,15)",0.744080107520568
"[70,Inf)","[15,25)",0.395578213372626
"[70,Inf)","[25,50)",1.55007227166657
"[70,Inf)","[50,70)",1.05953600864097
"[70,Inf)","[70,Inf)",0.308757818560279
