"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.8621584679783
"[0,15)","[15,25)",0.688179411032847
"[0,15)","[25,50)",1.54701039289126
"[0,15)","[50,70)",0.327069048116087
"[0,15)","[70,Inf)",0.0372734458598185
"[15,25)","[0,15)",1.19329005033123
"[15,25)","[15,25)",4.40283541681459
"[15,25)","[25,50)",2.27455664526784
"[15,25)","[50,70)",0.421878909134809
"[15,25)","[70,Inf)",0.0343196867430136
"[25,50)","[0,15)",1.18042782712897
"[25,50)","[15,25)",1.00091827842942
"[25,50)","[25,50)",3.27791277217868
"[25,50)","[50,70)",0.783059581011258
"[25,50)","[70,Inf)",0.0567222907767399
"[50,70)","[0,15)",0.624933702910502
"[50,70)","[15,25)",0.464876903978128
"[50,70)","[25,50)",1.96084425477736
"[50,70)","[50,70)",1.08196385336533
"[50,70)","[70,Inf)",0.121550420127624
"[70,Inf)","[0,15)",0.37570690903785
"[70,Inf)","[15,25)",0.199502622127419
"[70,Inf)","[25,50)",0.749302517153561
"[70,Inf)","[50,70)",0.641226705831752
"[70,Inf)","[70,Inf)",0.185923256574351
