"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.6680579373801
"[0,15)","[15,25)",0.285101452629514
"[0,15)","[25,50)",0.730145507020022
"[0,15)","[50,70)",0.174537258015005
"[0,15)","[70,Inf)",0.0015234732865699
"[15,25)","[0,15)",0.49217966105538
"[15,25)","[15,25)",3.74586614171532
"[15,25)","[25,50)",0.62329600728494
"[15,25)","[50,70)",0.131011138687768
"[15,25)","[70,Inf)",0.000408281472997302
"[25,50)","[0,15)",0.557128819754609
"[25,50)","[15,25)",0.274292434886074
"[25,50)","[25,50)",0.333998084611008
"[25,50)","[50,70)",0.0472704998893059
"[25,50)","[70,Inf)",0.0004450727322956
"[50,70)","[0,15)",0.33348987186476
"[50,70)","[15,25)",0.144363823886624
"[50,70)","[25,50)",0.118368164104792
"[50,70)","[50,70)",0.0448865270957574
"[50,70)","[70,Inf)",0.00163336366953903
"[70,Inf)","[0,15)",0.0153562254923135
"[70,Inf)","[15,25)",0.00237336736313854
"[70,Inf)","[25,50)",0.00587941907949637
"[70,Inf)","[50,70)",0.0086145432389576
"[70,Inf)","[70,Inf)",0.00155948013063844
