"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.76152107130146
"[0,15)","[15,25)",0.315365518358897
"[0,15)","[25,50)",0.704866727590792
"[0,15)","[50,70)",0.238056287252352
"[0,15)","[70,Inf)",0.00363086402961223
"[15,25)","[0,15)",0.431279673650092
"[15,25)","[15,25)",3.74494296431222
"[15,25)","[25,50)",0.589131790753348
"[15,25)","[50,70)",0.170974048063923
"[15,25)","[70,Inf)",0.00091504288032426
"[25,50)","[0,15)",0.440189848163989
"[25,50)","[15,25)",0.269913236542803
"[25,50)","[25,50)",0.29012926171859
"[25,50)","[50,70)",0.0624227031599072
"[25,50)","[70,Inf)",0.000990027108724484
"[50,70)","[0,15)",0.253745493090151
"[50,70)","[15,25)",0.13370292373535
"[50,70)","[25,50)",0.106543599245802
"[50,70)","[50,70)",0.0584426630725779
"[50,70)","[70,Inf)",0.00382448226110688
"[70,Inf)","[0,15)",0.0116302877256934
"[70,Inf)","[15,25)",0.00215037374247505
"[70,Inf)","[25,50)",0.00507802165106129
"[70,Inf)","[50,70)",0.0114920998845792
"[70,Inf)","[70,Inf)",0.00278606849647892
