"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.23431895477629
"[0,15)","[15,25)",0.565283864486616
"[0,15)","[25,50)",2.21122423031695
"[0,15)","[50,70)",0.328350888202244
"[0,15)","[70,Inf)",0.0466201984114016
"[15,25)","[0,15)",0.944867525580606
"[15,25)","[15,25)",1.30465495280964
"[15,25)","[25,50)",1.31387423973847
"[15,25)","[50,70)",0.415163257817799
"[15,25)","[70,Inf)",0.0364685235541173
"[25,50)","[0,15)",1.67515969121436
"[25,50)","[15,25)",0.595487834568766
"[25,50)","[25,50)",1.3949345919136
"[25,50)","[50,70)",0.365148031012118
"[25,50)","[70,Inf)",0.0510276141903337
"[50,70)","[0,15)",0.675098070937816
"[50,70)","[15,25)",0.510673414349659
"[50,70)","[25,50)",0.991001256708986
"[50,70)","[50,70)",0.582170265231049
"[50,70)","[70,Inf)",0.0720248193632239
"[70,Inf)","[0,15)",0.379876894355439
"[70,Inf)","[15,25)",0.177779879950029
"[70,Inf)","[25,50)",0.548846115806424
"[70,Inf)","[50,70)",0.285444886537508
"[70,Inf)","[70,Inf)",0.179545658348735
