"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0282538944899892
"[0,15)","[15,25)",0.0545253613042525
"[0,15)","[25,50)",0.231336318531376
"[0,15)","[50,70)",0.0430348307501782
"[0,15)","[70,Inf)",0.00102306863500456
"[15,25)","[0,15)",0.0911387118111477
"[15,25)","[15,25)",0.612778782187787
"[15,25)","[25,50)",1.32548182522217
"[15,25)","[50,70)",0.22823448314516
"[15,25)","[70,Inf)",0.010429028348734
"[25,50)","[0,15)",0.175253721718734
"[25,50)","[15,25)",0.600748745952211
"[25,50)","[25,50)",3.46873191063736
"[25,50)","[50,70)",0.583250556815708
"[25,50)","[70,Inf)",0.028289051297021
"[50,70)","[0,15)",0.0884807450396967
"[50,70)","[15,25)",0.280740842512658
"[50,70)","[25,50)",1.58292524042503
"[50,70)","[50,70)",0.471036176953004
"[50,70)","[70,Inf)",0.024823421755691
"[70,Inf)","[0,15)",0.00833630377006171
"[70,Inf)","[15,25)",0.0508403200113663
"[70,Inf)","[25,50)",0.304273209135454
"[70,Inf)","[50,70)",0.0983788486964806
"[70,Inf)","[70,Inf)",0.00729238068419583
