"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.26235692139942
"[0,15)","[15,25)",0.687414346844096
"[0,15)","[25,50)",1.68245643223293
"[0,15)","[50,70)",0.184321248998356
"[0,15)","[70,Inf)",0.0254223043099338
"[15,25)","[0,15)",1.39655247693136
"[15,25)","[15,25)",1.59408429176862
"[15,25)","[25,50)",0.99547457199463
"[15,25)","[50,70)",0.235386448258478
"[15,25)","[70,Inf)",0.0203558773919835
"[25,50)","[0,15)",2.42249453465972
"[25,50)","[15,25)",0.705521873186374
"[25,50)","[25,50)",1.09255513020091
"[25,50)","[50,70)",0.209029731570075
"[25,50)","[70,Inf)",0.0266467528996423
"[50,70)","[0,15)",0.987793469530541
"[50,70)","[15,25)",0.620916977037124
"[50,70)","[25,50)",0.778000417043074
"[50,70)","[50,70)",0.326533691293046
"[50,70)","[70,Inf)",0.0398701047427703
"[70,Inf)","[0,15)",0.547471579787413
"[70,Inf)","[15,25)",0.215773360284608
"[70,Inf)","[25,50)",0.398540059838456
"[70,Inf)","[50,70)",0.160215045213098
"[70,Inf)","[70,Inf)",0.0971084438622246
