"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",5.08215392890174
"[0,15)","[15,25)",0.338758680971878
"[0,15)","[25,50)",0.55901997100541
"[0,15)","[50,70)",0.0933291963409992
"[0,15)","[70,Inf)",0.00102563003845373
"[15,25)","[0,15)",0.682709863842024
"[15,25)","[15,25)",4.38363220411874
"[15,25)","[25,50)",0.493692858535706
"[15,25)","[50,70)",0.0726632445010321
"[15,25)","[70,Inf)",0.000298320077864866
"[25,50)","[0,15)",0.804908108514252
"[25,50)","[15,25)",0.349859776119229
"[25,50)","[25,50)",0.275348488900275
"[25,50)","[50,70)",0.0245961672915431
"[25,50)","[70,Inf)",0.000293806180531921
"[50,70)","[0,15)",0.500159212045026
"[50,70)","[15,25)",0.191675614510086
"[50,70)","[25,50)",0.0915431801501084
"[50,70)","[50,70)",0.0243000218698234
"[50,70)","[70,Inf)",0.00110875483673894
"[70,Inf)","[0,15)",0.0220870339125899
"[70,Inf)","[15,25)",0.00316220835888006
"[70,Inf)","[25,50)",0.00439428898564493
"[70,Inf)","[50,70)",0.0044543097614259
"[70,Inf)","[70,Inf)",0.00114894799737341
